,city,latitude,longitude,temperature,humidity,cloudiness,wind speed
339,leon,42.6,-5.57,50.0,93.0,0.0,1.12
340,mayo,63.59,-135.9,59.0,47.0,90.0,8.05
341,port augusta,-32.49,137.76,69.8,28.0,90.0,34.45
342,ishigaki,24.34,124.16,84.2,83.0,20.0,6.93
343,sao joao da barra,-21.64,-41.05,73.24,98.0,48.0,10.0
344,cabra,13.89,120.05,83.68,97.0,8.0,2.17
345,zlotow,53.36,17.04,59.74,70.0,0.0,11.45
346,puerto palomas,31.77,-107.62,95.0,14.0,1.0,12.75
347,ambilobe,-13.19,49.05,63.52,72.0,0.0,4.74
348,rosarito,27.04,-109.91,75.2,88.0,75.0,5.82
349,amalapuram,16.58,82.0,74.95,96.0,68.0,4.63
350,rocafuerte,-0.92,-80.45,71.6,88.0,20.0,13.87
351,zarechnyy,60.99,40.4,55.42,80.0,44.0,13.58
352,lodwar,3.12,35.6,62.08,93.0,20.0,2.73
353,mount gambier,-37.83,140.78,50.92,93.0,56.0,10.78
354,viedma,-40.81,-62.99,45.34,62.0,68.0,5.3
355,moose factory,51.26,-80.61,46.4,100.0,90.0,2.24
356,jacareacanga,-6.22,-57.76,76.84,91.0,0.0,1.61
357,souillac,-20.52,57.52,64.51,91.0,20.0,6.87
358,turayf,31.68,38.65,80.6,30.0,0.0,4.7
359,marsh harbour,26.54,-77.06,84.04,98.0,36.0,15.59
360,taseyevo,57.22,94.9,56.5,80.0,12.0,3.62
361,muyezerskiy,63.93,31.65,49.57,91.0,0.0,5.75
362,tanabe,33.73,135.39,82.4,83.0,40.0,4.7
363,lompoc,34.64,-120.46,72.37,49.0,1.0,13.87
364,boshnyakovo,49.65,142.17,59.47,95.0,92.0,5.08
365,mombetsu,44.35,143.35,62.6,93.0,75.0,2.24
366,sorong,-0.86,131.25,80.08,100.0,56.0,13.47
367,gudari,19.34,83.79,71.35,91.0,36.0,2.62
368,ulladulla,-35.36,150.48,55.4,37.0,0.0,6.93
369,ilo,-17.65,-71.34,55.87,100.0,8.0,1.61
370,faanui,-16.48,-151.75,76.66,100.0,92.0,23.53
371,kamenka,53.19,44.05,60.55,49.0,20.0,8.66
372,jijiga,9.35,42.8,62.8,77.0,56.0,10.67
373,buchanan,5.88,-10.05,77.0,94.0,75.0,5.53
374,roald,62.58,6.12,53.33,71.0,12.0,16.11
375,yatou,33.81,104.32,59.56,85.0,68.0,2.17
376,barranco,9.52,-82.7,77.0,88.0,75.0,3.36
377,kenora,49.76,-94.48,65.28,68.0,1.0,5.82
378,zempoala,20.09,-98.0,59.92,88.0,88.0,2.28
379,toba,34.47,136.83,84.2,79.0,20.0,3.36
380,ucluelet,48.94,-125.55,62.6,82.0,40.0,6.93
381,parana,-7.52,-72.89,77.0,83.0,0.0,2.17
382,loa janan,-0.58,117.09,76.75,95.0,44.0,2.73
383,keti bandar,24.14,67.45,78.73,100.0,92.0,17.05
384,tanout,14.97,8.88,73.6,91.0,0.0,6.76
385,ouahigouya,13.58,-2.42,75.67,89.0,20.0,6.2
386,burnie,-41.05,145.91,51.82,100.0,36.0,14.58
387,san vicente,14.11,122.87,82.96,100.0,20.0,1.16
388,ombessa,4.6,11.26,71.35,92.0,92.0,4.52
389,iskateley,67.68,53.15,47.05,95.0,100.0,7.76
390,carnarvon,-24.87,113.63,64.42,86.0,88.0,17.05
391,san pedro de cajas,-11.25,-75.86,46.33,54.0,0.0,1.83
392,paka,4.64,103.44,75.2,94.0,75.0,3.74
393,coihaique,-45.58,-72.07,34.59,69.0,20.0,3.36
394,san andres,8.22,-76.58,80.62,98.0,24.0,5.64
395,kisangani,0.52,25.21,72.79,94.0,32.0,1.5
396,mogok,22.92,96.51,68.2,100.0,92.0,1.39
397,sao filipe,14.9,-24.5,78.46,100.0,88.0,5.41
398,pimentel,-6.84,-79.94,66.2,29.0,20.0,16.11
399,bontang,0.12,117.47,78.82,100.0,68.0,6.64
400,nipawin,53.36,-104.02,71.6,49.0,75.0,5.82
401,cabo san lucas,22.89,-109.91,86.0,62.0,40.0,4.7
402,djibo,14.1,-1.63,75.67,91.0,32.0,5.3
403,sinnamary,5.38,-52.96,81.7,97.0,12.0,13.24
404,dukat,62.55,155.55,47.68,59.0,8.0,3.74
405,petropavlovsk-kamchatskiy,53.05,158.65,59.0,47.0,0.0,11.18
406,lugovoy,59.72,65.88,56.5,93.0,80.0,12.46
407,baykit,61.68,96.39,51.46,95.0,80.0,3.96
408,atambua,-9.11,124.89,77.65,96.0,0.0,5.75
409,vardo,70.37,31.11,55.33,84.0,32.0,19.73
410,mangrol,25.33,76.51,74.05,99.0,92.0,4.07
411,mao,14.12,15.31,79.99,69.0,8.0,7.65
412,esperance,-33.86,121.89,47.32,98.0,92.0,12.57
413,saint-pierre,46.77,-56.17,64.4,82.0,0.0,14.99
414,vila velha,-3.71,-38.6,78.8,78.0,75.0,14.99
415,solnechnyy,50.72,136.64,57.58,100.0,100.0,5.75
416,colesberg,-30.72,25.1,34.18,55.0,0.0,2.84
417,lewistown,40.39,-90.15,69.19,83.0,1.0,4.7
418,tuatapere,-46.13,167.69,48.04,100.0,88.0,4.29
419,kachiry,53.07,76.1,49.66,94.0,0.0,4.63
420,key west,47.93,-96.78,70.5,52.0,1.0,9.17
421,cururupu,-1.82,-44.87,78.64,81.0,8.0,7.43
422,skibbereen,51.55,-9.27,53.6,71.0,75.0,5.82
423,beyla,8.69,-8.65,66.94,96.0,92.0,5.3
424,beringovskiy,63.05,179.32,48.85,100.0,92.0,23.09
425,mahebourg,-20.41,57.7,64.51,91.0,20.0,6.87
426,vestmannaeyjar,63.44,-20.27,43.27,100.0,0.0,7.99
427,paamiut,61.99,-49.67,42.1,98.0,92.0,18.05
428,raudeberg,61.99,5.14,55.4,76.0,92.0,13.87
429,vostok,46.45,135.83,61.0,97.0,92.0,2.73
430,merauke,-8.49,140.4,81.25,76.0,32.0,14.25
431,kushima,31.5,131.29,81.52,88.0,75.0,3.36
